sport,league,name,teams
baseball,MLB Pre Seas,Detroit Tigers vs New York Yankees,Detroit Tigers|New York Yankees
baseball,MLB Pre Seas,Tampa Bay Rays vs Toronto Blue Jays,Tampa Bay Rays|Toronto Blue Jays
baseball,MLB Pre Seas,Philadelphia Phillies vs Baltimore Orioles,Philadelphia Phillies|Baltimore Orioles
baseball,MLB Pre Seas,Pittsburgh Pirates vs Minnesota Twins,Pittsburgh Pirates|Minnesota Twins
baseball,MLB Pre Seas,St. Louis Cardinals vs New York Mets,St. Louis Cardinals|New York Mets
baseball,MLB Pre Seas,Kansas City Royals vs Oakland Athletics,Kansas City Royals|Oakland Athletics
baseball,MLB Pre Seas,Chicago White Sox vs San Francisco Giants,Chicago White Sox|San Francisco Giants
baseball,MLB Pre Seas,San Diego Padres vs Cleveland Indians,San Diego Padres|Cleveland Indians
baseball,MLB Pre Seas,Chicago Cubs vs Seattle Mariners,Chicago Cubs|Seattle Mariners
baseball,MLB Pre Seas,New York Mets vs Washington Nationals,New York Mets|Washington Nationals
baseball,MLB Pre Seas,Atlanta Braves vs St. Louis Cardinals,Atlanta Braves|St. Louis Cardinals
baseball,MLB Pre Seas,Miami Marlins vs Detroit Tigers,Miami Marlins|Detroit Tigers
baseball,MLB Pre Seas,Houston Astros vs Toronto Blue Jays,Houston Astros|Toronto Blue Jays
baseball,MLB Pre Seas,Boston Red Sox vs Minnesota Twins,Boston Red Sox|Minnesota Twins
baseball,MLB Pre Seas,Pittsburgh Pirates vs Tampa Bay Rays,Pittsburgh Pirates|Tampa Bay Rays
baseball,MLB Pre Seas,Cincinnati Reds vs Los Angeles Dodgers,Cincinnati Reds|Los Angeles Dodgers
baseball,MLB Pre Seas,Milwaukee Brewers vs San Diego Padres,Milwaukee Brewers|San Diego Padres
baseball,MLB Pre Seas,Chicago White Sox vs Laa Angels,Chicago White Sox|Laa Angels
baseball,MLB Pre Seas,Kansas City Royals vs Cleveland Indians,Kansas City Royals|Cleveland Indians
baseball,MLB Pre Seas,Seattle Mariners vs Arizona Diamondbacks,Seattle Mariners|Arizona Diamondbacks
baseball,MLB Pre Seas,San Francisco Giants vs Texas Rangers,San Francisco Giants|Texas Rangers
baseball,MLB Pre Seas,Colorado Rockies vs Oakland Athletics,Colorado Rockies|Oakland Athletics
