sport,league,name,teams
basketball,Argentinian,Estudiantes De Concordia vs Atenas,Estudiantes De Concordia|Atenas
basketball,Argentinian,Lanus vs Regatas,Lanus|Regatas
basketball,Aussie NBL,New Zealand Breakers vs Sydney Kings,New Zealand Breakers|Sydney Kings
basketball,Aussie NBL,Adelaide 36ers vs Perth Wildcats,Adelaide 36ers|Perth Wildcats
basketball,Aussie NBL,Cairns Taipans vs Melbourne Tigers,Cairns Taipans|Melbourne Tigers
basketball,Aussie NBL,Townsville Crocodiles vs Wollongong Hawks,Townsville Crocodiles|Wollongong Hawks
basketball,Aussie NBL,Sydney Kings vs Adelaide 36ers,Sydney Kings|Adelaide 36ers
basketball,Austria OBL,Redwell Gunners Oberwart vs Raiffeisen Furstenfeld Panthers,Redwell Gunners Oberwart|Raiffeisen Furstenfeld Panthers
basketball,Austria OBL,Chin Min Dragons St. Polten vs Arkadia Traiskirchen Lions,Chin Min Dragons St. Polten|Arkadia Traiskirchen Lions
basketball,Austria OBL,Xion Dukes Klosterneuburg vs Allianz Swans Gmunden,Xion Dukes Klosterneuburg|Allianz Swans Gmunden
basketball,Austria OBL,Magnofit Gussing Knights vs Bc Zepter Vienna,Magnofit Gussing Knights|Bc Zepter Vienna
basketball,Austria OBL,Raiffeisen Furstenfeld Panthers vs Redwell Gunners Oberwart,Raiffeisen Furstenfeld Panthers|Redwell Gunners Oberwart
basketball,Austria OBL,Arkadia Traiskirchen Lions vs Chin Min Dragons St. Polten,Arkadia Traiskirchen Lions|Chin Min Dragons St. Polten
basketball,Austria OBL,Wbc Raiffeisen Wels vs Ece Bulls Kapfenberg,Wbc Raiffeisen Wels|Ece Bulls Kapfenberg
basketball,Baltic BL,Tampereen Pyrinto vs Nevezis,Tampereen Pyrinto|Nevezis
basketball,Baltic BL,Tampereen Pyrinto vs Nevezis,Tampereen Pyrinto|Nevezis
basketball,Baltic BL,Ventspils vs Siauliai,Ventspils|Siauliai
basketball,Baltic BL,Pieno Zvaigzdes vs Tu/ Rock,Pieno Zvaigzdes|Tu/ Rock
basketball,Brazil NBB,Bauru vs Mogi Das Cruzes,Bauru|Mogi Das Cruzes
basketball,Brazil NBB,Paulistano vs Palmeiras,Paulistano|Palmeiras
basketball,Brazil NBB,Limeira vs Basquete Cearense,Limeira|Basquete Cearense
basketball,Brazil NBB,Sao Jose Unimed vs Uberlandia,Sao Jose Unimed|Uberlandia
basketball,Brazil NBB,Espirito Santo vs Brasilia,Espirito Santo|Brasilia
basketball,Brazil NBB,Liga Sorocabana vs Pinheiros,Liga Sorocabana|Pinheiros
basketball,Brazil NBB,Minas vs Goiania,Minas|Goiania
basketball,China BaskAs,Guangdong Hongyuan Southern Tigers vs Beijing Shougang Ducks,Guangdong Hongyuan Southern Tigers|Beijing Shougang Ducks
basketball,Czech Mat,Orli Prostejov vs Bk Jip Pardubice,Orli Prostejov|Bk Jip Pardubice
basketball,Czech Mat,Bk Opava vs Cez Basketball Nymburk,Bk Opava|Cez Basketball Nymburk
basketball,Czech Mat,Orli Prostejov vs Cez Basketball Nymburk,Orli Prostejov|Cez Basketball Nymburk
basketball,Czech Mat,Bk Opava vs Farfallino Kolin,Bk Opava|Farfallino Kolin
basketball,Czech Mat,Mmcite Brno vs Usk Praha,Mmcite Brno|Usk Praha
basketball,Czech Mat,Bk Lions Jindrichuv Hradec vs Bk Decin,Bk Lions Jindrichuv Hradec|Bk Decin
basketball,Denmark,Aalborg Vikings vs Sisu,Aalborg Vikings|Sisu
basketball,Denmark,Vaerlose Bbk vs Hoersholm 79ers,Vaerlose Bbk|Hoersholm 79ers
basketball,Denmark,Team Fog Naestved vs Horsens Ic,Team Fog Naestved|Horsens Ic
basketball,Denmark,Falcon vs Svendborg Rabbits,Falcon|Svendborg Rabbits
basketball,Denmark,Bakken Bears vs Randers Cimbria,Bakken Bears|Randers Cimbria
basketball,Denmark,Bakken Bears vs Svendborg Rabbits,Bakken Bears|Svendborg Rabbits
basketball,Estonia,Ttu Kk vs Valga/Maks&Moorits,Ttu Kk|Valga/Maks&Moorits
basketball,Estonia,Bc Kalev/Cramo vs Kk Parnu,Bc Kalev/Cramo|Kk Parnu
basketball,Estonia,Rakvere Tarvas vs Valga/Maks&Moorits,Rakvere Tarvas|Valga/Maks&Moorits
basketball,Estonia,Kk Hito vs Tyco Rapla,Kk Hito|Tyco Rapla
basketball,Euro Chall,Krasnye Krylia (Rus) vs Reggio Emilia (Ita),Krasnye Krylia (Rus)|Reggio Emilia (Ita)
basketball,Euro Chall,Triumph Lyubertsy (Rus) vs Ural Ekaterinburg (Rus),Triumph Lyubertsy (Rus)|Ural Ekaterinburg (Rus)
basketball,Euro Chall,Szolnoki Olaj (Hun) vs Tartu Rock (Est),Szolnoki Olaj (Hun)|Tartu Rock (Est)
basketball,Euro Chall,Tsmoki Minsk (Blr) vs Royal Hali Gaziantep Bb (Tur),Tsmoki Minsk (Blr)|Royal Hali Gaziantep Bb (Tur)
basketball,Eurocup,Ted Ankara Koleji (Tur) vs Khimik Yuzhne (Ukr),Ted Ankara Koleji (Tur)|Khimik Yuzhne (Ukr)
basketball,Eurocup,Hapoel Migdal Jerusalem (Isr) vs Ratiopharm Ulm (Ger),Hapoel Migdal Jerusalem (Isr)|Ratiopharm Ulm (Ger)
basketball,Eurocup,Lietuvos Rytas (Ltu) vs Crvena Zvezda (Srb),Lietuvos Rytas (Ltu)|Crvena Zvezda (Srb)
basketball,Euroleague,Cska Moscow (Rus) vs Partizan Nis Belgrade (Srb),Cska Moscow (Rus)|Partizan Nis Belgrade (Srb)
basketball,Euroleague,Fenerbahce Ulker (Tur) vs Unicaja Malaga (Esp),Fenerbahce Ulker (Tur)|Unicaja Malaga (Esp)
basketball,Euroleague,Maccabi Electra Tel Aviv (Isr) vs Zalgiris Kaunas (Ltu),Maccabi Electra Tel Aviv (Isr)|Zalgiris Kaunas (Ltu)
basketball,Euroleague,Fc Bayern Munchen (Ger) vs Real Madrid (Esp),Fc Bayern Munchen (Ger)|Real Madrid (Esp)
basketball,Euroleague,Laboral Kutxa Vitoria (Esp) vs Ea7 Emporio Armani Milano (Ita),Laboral Kutxa Vitoria (Esp)|Ea7 Emporio Armani Milano (Ita)
basketball,Euroleague,Lokomotiv Kuban Krasnodar (Rus) vs Galatasaray Medical Park (Tur),Lokomotiv Kuban Krasnodar (Rus)|Galatasaray Medical Park (Tur)
basketball,Euroleague,Anadolu Efes (Tur) vs Panathinaikos Athens (Gre),Anadolu Efes (Tur)|Panathinaikos Athens (Gre)
basketball,Euroleague,Fc Barcelona Regal (Esp) vs Olympiacos Piraeus (Gre),Fc Barcelona Regal (Esp)|Olympiacos Piraeus (Gre)
basketball,Euroleague W,Ccc Polkowice (Pol) vs Fenerbahce (Tur),Ccc Polkowice (Pol)|Fenerbahce (Tur)
basketball,Euroleague W,Ue Sopron (Hun) vs Sparta&K Mr Vidnoje (Rus),Ue Sopron (Hun)|Sparta&K Mr Vidnoje (Rus)
basketball,Euroleague W,Wisla Can Pack (Pol) vs Nadezhda Orenburg (Rus),Wisla Can Pack (Pol)|Nadezhda Orenburg (Rus)
basketball,Euroleague W,Rivas Ecopolis (Esp) vs Zvvz Usk Prague (Cze),Rivas Ecopolis (Esp)|Zvvz Usk Prague (Cze)
basketball,Euroleague W,Good Angels Kosice (Svk) vs Tango Bourges (Fra),Good Angels Kosice (Svk)|Tango Bourges (Fra)
basketball,Euroleague W,Perfumerias Avenida vs Galatasaray (Tur),Perfumerias Avenida|Galatasaray (Tur)
