league,name,teams
Bundesliga,Borussia Dortmund vs Borussia Monchengladbach,"Borussia Dortmund,Borussia Monchengladbach"
Bundesliga,Fsv Mainz 05 vs Bayern Munchen,"Fsv Mainz 05,Bayern Munchen"
Bundesliga,Tsg Hoffenheim vs Hannover 96,"Tsg Hoffenheim,Hannover 96"
Bundesliga,Borussia Dortmund vs Borussia Monchengladbach,"Borussia Dortmund,Borussia Monchengladbach"
Bundesliga,Hannover 96 vs Borussia Dortmund,"Hannover 96,Borussia Dortmund"
Bundesliga,Eintracht Braunschweig vs Vf L Wolfsburg,"Eintracht Braunschweig,Vf L Wolfsburg"
Bundesliga,Schalke 04 vs Eintracht Braunschweig,"Schalke 04,Eintracht Braunschweig"
Bundesliga,Hertha Berlin vs Hannover 96,"Hertha Berlin,Hannover 96"
Bundesliga,Tsg Hoffenheim vs Fsv Mainz 05,"Tsg Hoffenheim,Fsv Mainz 05"
Bundesliga,Vf B Stuttgart vs Hamburger Sv,"Vf B Stuttgart,Hamburger Sv"
Bundesliga,Tsg Hoffenheim vs Fsv Mainz 05,"Tsg Hoffenheim,Fsv Mainz 05"
Bundesliga,Werder Bremen vs Vf B Stuttgart,"Werder Bremen,Vf B Stuttgart"
Bundesliga,Vf L Wolfsburg vs Augsburg,"Vf L Wolfsburg,Augsburg"
Bundesliga,Werder Bremen vs Vf B Stuttgart,"Werder Bremen,Vf B Stuttgart"
Bundesliga,Bayern Munchen vs Bayer Leverkusen,"Bayern Munchen,Bayer Leverkusen"
Bundesliga,Borussia Monchengladbach vs Hertha Berlin,"Borussia Monchengladbach,Hertha Berlin"
Bundesliga,Bayern Munchen vs Bayer Leverkusen,"Bayern Munchen,Bayer Leverkusen"
Bundesliga,Nurnberg vs Eintracht Frankfurt,"Nurnberg,Eintracht Frankfurt"
Bundesliga,Bayer Leverkusen vs Tsg Hoffenheim,"Bayer Leverkusen,Tsg Hoffenheim"
Bundesliga,Hamburger Sv vs Nurnberg,"Hamburger Sv,Nurnberg"
Bundesliga,Eintracht Frankfurt vs Sc Freiburg,"Eintracht Frankfurt,Sc Freiburg"
Bundesliga,Borussia Dortmund vs Schalke 04,"Borussia Dortmund,Schalke 04"
Bundesliga,Sc Freiburg vs Werder Bremen,"Sc Freiburg,Werder Bremen"
Bundesliga,Eintracht Frankfurt vs Sc Freiburg,"Eintracht Frankfurt,Sc Freiburg"
Bundesliga,Augsburg vs Schalke 04,"Augsburg,Schalke 04"
Bundesliga,Eintracht Braunschweig vs Fsv Mainz 05,"Eintracht Braunschweig,Fsv Mainz 05"
Bundesliga,Augsburg vs Schalke 04,"Augsburg,Schalke 04"
Bundesliga,Hertha Berlin vs Bayern Munchen,"Hertha Berlin,Bayern Munchen"
Bundesliga,Werder Bremen vs Vf L Wolfsburg,"Werder Bremen,Vf L Wolfsburg"
Bundesliga,Augsburg vs Bayer Leverkusen,"Augsburg,Bayer Leverkusen"
Bundesliga,Eintracht Frankfurt vs Borussia Monchengladbach,"Eintracht Frankfurt,Borussia Monchengladbach"
Bundesliga,Hamburger Sv vs Sc Freiburg,"Hamburger Sv,Sc Freiburg"
Bundesliga,Nurnberg vs Vf B Stuttgart,"Nurnberg,Vf B Stuttgart"
Premier League,Hull City vs Manchester City,"Hull City,Manchester City"
Premier League,Chelsea vs Arsenal,"Chelsea,Arsenal"
Premier League,Hull City vs Manchester City,"Hull City,Manchester City"
Premier League,Everton vs Cardiff City,"Everton,Cardiff City"
Premier League,Cardiff City vs Liverpool,"Cardiff City,Liverpool"
Premier League,Everton vs Cardiff City,"Everton,Cardiff City"
Premier League,Everton vs Swansea City,"Everton,Swansea City"
Premier League,Fulham vs Newcastle United,"Fulham,Newcastle United"
Premier League,Southampton vs Norwich City,"Southampton,Norwich City"
Premier League,Hull City vs W.B.A,"Hull City,W.B.A"
Premier League,Southampton vs Norwich City,"Southampton,Norwich City"
Premier League,Manchester City vs Fulham,"Manchester City,Fulham"
Premier League,Stoke City vs West Ham United,"Stoke City,West Ham United"
Premier League,Newcastle United vs Crystal Palace,"Newcastle United,Crystal Palace"
Premier League,Sunderland vs Crystal Palace,"Sunderland,Crystal Palace"
Premier League,Swansea City vs W.B.A,"Swansea City,W.B.A"
Premier League,Norwich City vs Sunderland,"Norwich City,Sunderland"
Premier League,Swansea City vs W.B.A,"Swansea City,W.B.A"
Premier League,Aston Villa vs Chelsea,"Aston Villa,Chelsea"
Premier League,West Ham United vs Manchester United,"West Ham United,Manchester United"
Premier League,Aston Villa vs Chelsea,"Aston Villa,Chelsea"
Premier League,Manchester United vs Liverpool,"Manchester United,Liverpool"
Premier League,Tottenham Hotspur vs Southampton,"Tottenham Hotspur,Southampton"
Premier League,Manchester United vs Liverpool,"Manchester United,Liverpool"
Premier League,Tottenham Hotspur vs Arsenal,"Tottenham Hotspur,Arsenal"
Premier League,Aston Villa vs Stoke City,"Aston Villa,Stoke City"
Premier League,Tottenham Hotspur vs Arsenal,"Tottenham Hotspur,Arsenal"
Ligue 1,Lille vs Nantes,"Lille,Nantes"
Ligue 1,Marseille vs Rennes,"Marseille,Rennes"
Ligue 1,Lille vs Nantes,"Lille,Nantes"
Ligue 1,Ajaccio vs Guingamp,"Ajaccio,Guingamp"
Ligue 1,Bordeaux vs Nice,"Bordeaux,Nice"
Ligue 1,Ajaccio vs Guingamp,"Ajaccio,Guingamp"
