sport,league,name,teams
handball,Den HB,Bjerringbro Silkeborg vs Kif Kolding,Bjerringbro Silkeborg|Kif Kolding
handball,Den HB,Aarhus Handbold vs Skjern Handbold,Aarhus Handbold|Skjern Handbold
handball,Den HB,Lemvig Thyboron Handbold vs Skanderborg Handbold,Lemvig Thyboron Handbold|Skanderborg Handbold
handball,Den HB,Team Sydhavsoerne vs Mors Thy Handbold,Team Sydhavsoerne|Mors Thy Handbold
handball,Den HB,Sonderjyske vs Aa B Handbold,Sonderjyske|Aa B Handbold
handball,Den HB,Gog Handbold vs Team Tvis Holstebro,Gog Handbold|Team Tvis Holstebro
handball,Den HB,Odder Handbold vs Nordsjaelland Handbold,Odder Handbold|Nordsjaelland Handbold
handball,Den HB,Skive Fh vs Ribe Esbjerg Hh,Skive Fh|Ribe Esbjerg Hh
handball,Den HB W,Kobenhavn Handbold vs Nykobing Falster Handboldklub,Kobenhavn Handbold|Nykobing Falster Handboldklub
handball,Den HB W,Vejen Eh vs Ringkobing Handbold,Vejen Eh|Ringkobing Handbold
handball,Den HB W,Fc Midtjylland vs Team Esbjerg,Fc Midtjylland|Team Esbjerg
handball,Eur Cham L W,Rk Krim Mercator vs Buducnost,Rk Krim Mercator|Buducnost
handball,Eur Cham L W,Fc Midtjylland vs Thuringer Hc,Fc Midtjylland|Thuringer Hc
handball,Eur Cham L W,Whc Vardar Skopje vs Ik Savehof,Whc Vardar Skopje|Ik Savehof
handball,Eur Cham L W,Gyori Audi Eto Kc vs Larvik,Gyori Audi Eto Kc|Larvik
handball,Eur Champ L,Hk Motor Zaporizhya vs Thw Kiel,Hk Motor Zaporizhya|Thw Kiel
handball,Eur Champ L,Hc Vardar Skopje vs Hsv Hamburg,Hc Vardar Skopje|Hsv Hamburg
handball,Eur Champ L,Ks Vive Kielce vs Rhein Neckar Loewen,Ks Vive Kielce|Rhein Neckar Loewen
handball,Eur Champ L,Rk Gorenje Velenje vs Psg Handball,Rk Gorenje Velenje|Psg Handball
handball,Eur Champ L,Aa B Handball vs Fc Barcelona,Aa B Handball|Fc Barcelona
handball,Eur Champ L,Hc Metalurg vs Kif Kolding,Hc Metalurg|Kif Kolding
handball,Eur Champ L,Orlen Wisla Plock vs Mkb Veszprem Kc,Orlen Wisla Plock|Mkb Veszprem Kc
handball,Eur Champ L,Celje Pivovarna Lasko vs Sg Flensburg Handewitt,Celje Pivovarna Lasko|Sg Flensburg Handewitt
handball,Fran Div1,Nantes vs Chamberry Savoie,Nantes|Chamberry Savoie
handball,Fran Div1,Montpellier vs Selestat,Montpellier|Selestat
handball,Fran Div1,Dijon vs Dunkerque,Dijon|Dunkerque
handball,Fran Div1,Paris vs Saint Raphael,Paris|Saint Raphael
handball,Fran Div1,Pays Aix vs Nimes,Pays Aix|Nimes
handball,Fran Div1,Tremblay vs Cesson Rennes,Tremblay|Cesson Rennes
handball,Fran Div1,Ivry vs Toulouse,Ivry|Toulouse
handball,GerBundes 3,Fuchse Berlin vs Tsv Hannover Burgdorf,Fuchse Berlin|Tsv Hannover Burgdorf
handball,GerBundes 3,Sc Magdeburg vs Bergischer Hc,Sc Magdeburg|Bergischer Hc
handball,GerBundes 3,Bergischer Hc vs Frisch Auf Goppingen,Bergischer Hc|Frisch Auf Goppingen
handball,GerBundes 3,Hsv Hamburg vs Th Sv Eisenach,Hsv Hamburg|Th Sv Eisenach
handball,GerBundes 3,Tbv Lemgo vs Rhein Neckar Lowen,Tbv Lemgo|Rhein Neckar Lowen
handball,GerBundes 3,Tu S N Lubbecke vs Gwd Minden,Tu S N Lubbecke|Gwd Minden
handball,GerBundes 3,Tv Emsdetten vs Sg Flensburg Handewitt,Tv Emsdetten|Sg Flensburg Handewitt
handball,GerBundes 3,Hsg Wetzlar vs Hbw Balingen Weilstetten,Hsg Wetzlar|Hbw Balingen Weilstetten
handball,GerBundes 3,Thw Kiel vs Sc Magdeburg,Thw Kiel|Sc Magdeburg
handball,GerBundes 3,Vf L Gummersbach vs Mt Melsungen,Vf L Gummersbach|Mt Melsungen
handball,Spain L A 3,Bm. Guadalajara vs Reale Ademar Leon,Bm. Guadalajara|Reale Ademar Leon
handball,Spain L A 3,Bm. Aragon vs Juanfersa Grupo Fegar,Bm. Aragon|Juanfersa Grupo Fegar
handball,Spain L A 3,Angel Ximenez P. Genil vs Bm. Villa De Aranda,Angel Ximenez P. Genil|Bm. Villa De Aranda
handball,Spain L A 3,Helvetia Anaitasuna vs F.C. Barcelona,Helvetia Anaitasuna|F.C. Barcelona
handball,Spain L A 3,Frigoríficos Del Morrazo vs Fertiberia Puerto Sagunto,Frigoríficos Del Morrazo|Fertiberia Puerto Sagunto
handball,Spain L A 3,Bidasoa Irun vs Bm. Huesca,Bidasoa Irun|Bm. Huesca
handball,Spain L A 3,Cuatro Rayas Valladolid vs Naturhouse La Rioja,Cuatro Rayas Valladolid|Naturhouse La Rioja
handball,Spain L A 3,Fraikin Bm. Granollers vs Global Caja Ciudad Encantada,Fraikin Bm. Granollers|Global Caja Ciudad Encantada
handball,Swed Elits,If Guif Eskilstuna vs Hammarby If,If Guif Eskilstuna|Hammarby If
handball,Swed Elits,Ik Savehof vs Onnereds Hk,Ik Savehof|Onnereds Hk
handball,Swed Elits,Kristianstad vs Hk Drott,Kristianstad|Hk Drott
handball,Swed Elits,Lugi Hf vs H 43 Lund,Lugi Hf|H 43 Lund
handball,Swed Elits,Alingsas Hk vs Redbergslids Ik,Alingsas Hk|Redbergslids Ik
handball,Swed Elits W,Hoors Hk H 65 vs Skuru Ik,Hoors Hk H 65|Skuru Ik
handball,Swed Elits W,Skanela If vs Onnereds Hk,Skanela If|Onnereds Hk
handball,Swed Elits W,Bk Heid vs Irsta Vasteras,Bk Heid|Irsta Vasteras
handball,Swed Elits W,Lugi Hf vs Ik Savehof,Lugi Hf|Ik Savehof
handball,Swed Elits W,Sparvagens Hf vs Skovde Hf,Sparvagens Hf|Skovde Hf
handball,Swed Elits W,Karra vs Team Eslov Ik,Karra|Team Eslov Ik
