sport,league,name,teams
hockey,America AHL3,Portland Pirates vs St. Johns Ice Caps,Portland Pirates|St. Johns Ice Caps
hockey,America AHL3,Adirondack Phantoms vs Hartford Wolf Pack,Adirondack Phantoms|Hartford Wolf Pack
hockey,America AHL3,Portland Pirates vs St. Johns Ice Caps,Portland Pirates|St. Johns Ice Caps
hockey,America AHL3,Binghamton Senators vs Rochester Americans,Binghamton Senators|Rochester Americans
hockey,America AHL3,Bridgeport Sound Tigers vs Manchester Monarchs,Bridgeport Sound Tigers|Manchester Monarchs
hockey,America AHL3,Albany Devils vs Springfield Falcons,Albany Devils|Springfield Falcons
hockey,America AHL3,Iowa Wild vs Milwaukee Admirals,Iowa Wild|Milwaukee Admirals
hockey,America AHL3,Charlotte Checkers vs Texas Stars,Charlotte Checkers|Texas Stars
hockey,America AHL3,Hershey Bears vs Syracuse Crunch,Hershey Bears|Syracuse Crunch
hockey,America AHL3,Norfolk Admirals vs Binghamton Senators,Norfolk Admirals|Binghamton Senators
hockey,America AHL3,Grand Rapids Griffins vs San Antonio Rampage,Grand Rapids Griffins|San Antonio Rampage
hockey,America AHL3,Worcester Sharks vs Providence Bruins,Worcester Sharks|Providence Bruins
hockey,America AHL3,Toronto Marlies vs Rochester Americans,Toronto Marlies|Rochester Americans
hockey,America AHL3,Hamilton Bulldogs vs Wilkes Barre/Scranton Penguins,Hamilton Bulldogs|Wilkes Barre/Scranton Penguins
hockey,America AHL3,Rockford Ice Hogs vs Milwaukee Admirals,Rockford Ice Hogs|Milwaukee Admirals
hockey,America AHL3,Grand Rapids Griffins vs Oklahoma City Barons,Grand Rapids Griffins|Oklahoma City Barons
hockey,America AHL3,Utica Comets vs Abbotsford Heat,Utica Comets|Abbotsford Heat
hockey,Austri EHL 3,Dornbirner Eishockey Club vs Ec Red Bull Salzburg,Dornbirner Eishockey Club|Ec Red Bull Salzburg
hockey,Austri EHL 3,Ec Vsv vs Vienna Capitals,Ec Vsv|Vienna Capitals
hockey,Austri EHL 3,Ehc Liwest Black Wings Linz vs Hc Orli Znojmo,Ehc Liwest Black Wings Linz|Hc Orli Znojmo
hockey,Austri EHL 3,Sapa Fehervar Av19 vs Hcb Sudtirol,Sapa Fehervar Av19|Hcb Sudtirol
hockey,Austri EHL 3,Vienna Capitals vs Ec Vsv,Vienna Capitals|Ec Vsv
hockey,Austri EHL 3,Hc Orli Znojmo vs Ehc Liwest Black Wings Linz,Hc Orli Znojmo|Ehc Liwest Black Wings Linz
hockey,Austri EHL 3,Ec Red Bull Salzburg vs Dornbirner Eishockey Club,Ec Red Bull Salzburg|Dornbirner Eishockey Club
hockey,Belarus OL 3,Neman Grodno vs Metallurg Zhlobin,Neman Grodno|Metallurg Zhlobin
hockey,Belarus OL 3,Yunost Minsk vs Hc Gomel,Yunost Minsk|Hc Gomel
hockey,Belarus OL 3,Neman Grodno vs Metallurg Zhlobin,Neman Grodno|Metallurg Zhlobin
hockey,Belarus OL 3,Yunost Minsk vs Hc Gomel,Yunost Minsk|Hc Gomel
hockey,Belarus OL 3,Hc Gomel vs Yunost Minsk,Hc Gomel|Yunost Minsk
hockey,Belarus OL 3,Metallurg Zhlobin vs Neman Grodno,Metallurg Zhlobin|Neman Grodno
hockey,Belarus OL 3,Hc Gomel vs Yunost Minsk,Hc Gomel|Yunost Minsk
hockey,Belarus OL 3,Metallurg Zhlobin vs Neman Grodno,Metallurg Zhlobin|Neman Grodno
hockey,CZ ExtraLi 3,Hc Slavia Praha vs Hc Pardubice,Hc Slavia Praha|Hc Pardubice
hockey,CZ ExtraLi 3,Psg Zlin vs Mountfield Hk,Psg Zlin|Mountfield Hk
hockey,CZ ExtraLi 3,Hc Plzen 1929 vs Hc Kometa Brno,Hc Plzen 1929|Hc Kometa Brno
hockey,CZ ExtraLi 3,Hc Bili Tygri Liberec vs Hc Vitkovice Steel,Hc Bili Tygri Liberec|Hc Vitkovice Steel
hockey,CZ ExtraLi 3,Hc Litvinov vs Hc Energie Karlovy Vary,Hc Litvinov|Hc Energie Karlovy Vary
hockey,CZ ExtraLi 3,Rytiri Kladno vs Pirati Chomutov,Rytiri Kladno|Pirati Chomutov
hockey,Fin Mest 3,K Vantaa vs Tu To,K Vantaa|Tu To
hockey,Fin Mest 3,Jukurit vs Sport,Jukurit|Sport
hockey,Fin Mest 3,Jokipojat vs Kookoo,Jokipojat|Kookoo
hockey,Fin Mest 3,Hokki vs Hck,Hokki|Hck
hockey,Finland SM 3,Hpk vs Hifk,Hpk|Hifk
