sport,league,name,teams
tennis,M Irving R1,Vasek Pospisil vs Benjamin Becker,Vasek Pospisil|Benjamin Becker
tennis,M Irving R1,Guido Pella vs Paolo Lorenzi,Guido Pella|Paolo Lorenzi
tennis,M Irving R1,Igor Sijsling vs Alex Kuznetsov,Igor Sijsling|Alex Kuznetsov
tennis,M Irving R1,Illya Marchenko vs Bobby Reynolds,Illya Marchenko|Bobby Reynolds
tennis,M Irving R1,Rhyne Williams vs Denis Istomin,Rhyne Williams|Denis Istomin
tennis,M Irving R1,Teymuraz Gabashvili vs Jimmy Wang,Teymuraz Gabashvili|Jimmy Wang
tennis,M Irving R1,Michael Russell vs Lukas Rosol,Michael Russell|Lukas Rosol
tennis,M Irving R1,Andrey Golubev vs Tim Smyczek,Andrey Golubev|Tim Smyczek
tennis,M Irving R1,Rajeev Ram vs David Goffin,Rajeev Ram|David Goffin
tennis,M Irving R1,Sergiy Stakhovsky vs Jesse Huta Galung,Sergiy Stakhovsky|Jesse Huta Galung
tennis,M Irving R16,Steve Johnson vs Daniel Gimeno Traver,Steve Johnson|Daniel Gimeno Traver
tennis,M Kazan R16,Flavio Cipolla vs Albano Olivetti,Flavio Cipolla|Albano Olivetti
tennis,M Kazan R16,Miloslav Mecir vs Farrukh Dustov,Miloslav Mecir|Farrukh Dustov
tennis,M Kazan R16,Marsel Ilhan vs Laurynas Grigelis,Marsel Ilhan|Laurynas Grigelis
tennis,M Kazan R16,Ilija Bozoljac vs Gilles Muller,Ilija Bozoljac|Gilles Muller
tennis,M Kazan R16,Jaroslav Pospisil vs Andrey Kuznetsov,Jaroslav Pospisil|Andrey Kuznetsov
tennis,MParibas R16,Alexandr Dolgopolov (+1.5 Sets) vs Fabio Fognini ( 1.5 Sets),Alexandr Dolgopolov (+1.5 Sets)|Fabio Fognini ( 1.5 Sets)
tennis,MParibas R16,Alexandr Dolgopolov ( 1.5 Sets) vs Fabio Fognini (+1.5 Sets),Alexandr Dolgopolov ( 1.5 Sets)|Fabio Fognini (+1.5 Sets)
tennis,MParibas R16,Alexandr Dolgopolov vs Fabio Fognini,Alexandr Dolgopolov|Fabio Fognini
tennis,MParibas R16,Milos Raonic vs Andy Murray,Milos Raonic|Andy Murray
tennis,MParibas R16,Milos Raonic (+1.5 Sets) vs Andy Murray ( 1.5 Sets),Milos Raonic (+1.5 Sets)|Andy Murray ( 1.5 Sets)
tennis,MParibas R16,Milos Raonic ( 1.5 Sets) vs Andy Murray (+1.5 Sets),Milos Raonic ( 1.5 Sets)|Andy Murray (+1.5 Sets)
tennis,MParibas R16,Milos Raonic vs Andy Murray,Milos Raonic|Andy Murray
tennis,MParibas R16,Stanislas Wawrinka (+1.5 Sets) vs Kevin Anderson ( 1.5 Sets),Stanislas Wawrinka (+1.5 Sets)|Kevin Anderson ( 1.5 Sets)
tennis,MParibas R16,Stanislas Wawrinka ( 1.5 Sets) vs Kevin Anderson (+1.5 Sets),Stanislas Wawrinka ( 1.5 Sets)|Kevin Anderson (+1.5 Sets)
tennis,MParibas R16,Stanislas Wawrinka vs Kevin Anderson,Stanislas Wawrinka|Kevin Anderson
tennis,MParibas R16,Tommy Haas (+1.5 Sets) vs Roger Federer ( 1.5 Sets),Tommy Haas (+1.5 Sets)|Roger Federer ( 1.5 Sets)
tennis,MParibas R16,Tommy Haas ( 1.5 Sets) vs Roger Federer (+1.5 Sets),Tommy Haas ( 1.5 Sets)|Roger Federer (+1.5 Sets)
tennis,MParibas R16,Tommy Haas vs Roger Federer,Tommy Haas|Roger Federer
tennis,MParibas R16,Fernando Verdasco vs John Isner,Fernando Verdasco|John Isner
tennis,MParibas R16,Fernando Verdasco (+1.5 Sets) vs John Isner ( 1.5 Sets),Fernando Verdasco (+1.5 Sets)|John Isner ( 1.5 Sets)
tennis,MParibas R16,Fernando Verdasco ( 1.5 Sets) vs John Isner (+1.5 Sets),Fernando Verdasco ( 1.5 Sets)|John Isner (+1.5 Sets)
tennis,MParibas R16,Fernando Verdasco vs John Isner,Fernando Verdasco|John Isner
tennis,MParibas R16,Ernests Gulbis vs Roberto Bautista Agut,Ernests Gulbis|Roberto Bautista Agut
tennis,MParibas R16,Ernests Gulbis (+1.5 Sets) vs Roberto Bautista Agut ( 1.5 Sets),Ernests Gulbis (+1.5 Sets)|Roberto Bautista Agut ( 1.5 Sets)
tennis,MParibas R16,Ernests Gulbis ( 1.5 Sets) vs Roberto Bautista Agut (+1.5 Sets),Ernests Gulbis ( 1.5 Sets)|Roberto Bautista Agut (+1.5 Sets)
tennis,MParibas R16,Ernests Gulbis vs Roberto Bautista Agut,Ernests Gulbis|Roberto Bautista Agut
tennis,MParibas R16,Feliciano Lopez vs Julien Benneteau,Feliciano Lopez|Julien Benneteau
tennis,MParibas R16,Feliciano Lopez (+1.5 Sets) vs Julien Benneteau ( 1.5 Sets),Feliciano Lopez (+1.5 Sets)|Julien Benneteau ( 1.5 Sets)
tennis,MParibas R16,Feliciano Lopez ( 1.5 Sets) vs Julien Benneteau (+1.5 Sets),Feliciano Lopez ( 1.5 Sets)|Julien Benneteau (+1.5 Sets)
tennis,MParibas R16,Feliciano Lopez vs Julien Benneteau,Feliciano Lopez|Julien Benneteau
tennis,MParibas R16,Marin Cilic vs Novak Djokovic,Marin Cilic|Novak Djokovic
tennis,MParibas R16,Marin Cilic (+1.5 Sets) vs Novak Djokovic ( 1.5 Sets),Marin Cilic (+1.5 Sets)|Novak Djokovic ( 1.5 Sets)
tennis,MParibas R16,Marin Cilic ( 1.5 Sets) vs Novak Djokovic (+1.5 Sets),Marin Cilic ( 1.5 Sets)|Novak Djokovic (+1.5 Sets)
tennis,MParibas R16,Marin Cilic vs Novak Djokovic,Marin Cilic|Novak Djokovic
tennis,W SaoPaulo16,Marina Melnikova vs Gaia Sanesi,Marina Melnikova|Gaia Sanesi
tennis,W SaoPaulo16,Alexandra Panova vs Catalina Pella,Alexandra Panova|Catalina Pella
tennis,W SaoPaulo16,Sachia Vickery vs Fiona Ferro,Sachia Vickery|Fiona Ferro
tennis,WParibas QF,Na Li vs Dominika Cibulkova,Na Li|Dominika Cibulkova
tennis,WParibas QF,Na Li (+1.5 Sets) vs Dominika Cibulkova ( 1.5 Sets),Na Li (+1.5 Sets)|Dominika Cibulkova ( 1.5 Sets)
tennis,WParibas QF,Na Li ( 1.5 Sets) vs Dominika Cibulkova (+1.5 Sets),Na Li ( 1.5 Sets)|Dominika Cibulkova (+1.5 Sets)
tennis,WParibas QF,Flavia Pennetta vs Sloane Stephens,Flavia Pennetta|Sloane Stephens
tennis,WParibas QF,Flavia Pennetta (+1.5 Sets) vs Sloane Stephens ( 1.5 Sets),Flavia Pennetta (+1.5 Sets)|Sloane Stephens ( 1.5 Sets)
tennis,WParibas QF,Flavia Pennetta ( 1.5 Sets) vs Sloane Stephens (+1.5 Sets),Flavia Pennetta ( 1.5 Sets)|Sloane Stephens (+1.5 Sets)
tennis,WParibas QF,Simona Halep (+1.5 Sets) vs Casey Dellacqua ( 1.5 Sets),Simona Halep (+1.5 Sets)|Casey Dellacqua ( 1.5 Sets)
tennis,WParibas QF,Simona Halep ( 1.5 Sets) vs Casey Dellacqua (+1.5 Sets),Simona Halep ( 1.5 Sets)|Casey Dellacqua (+1.5 Sets)
tennis,WParibas QF,Simona Halep vs Casey Dellacqua,Simona Halep|Casey Dellacqua
tennis,WParibas QF,Jelena Jankovic vs Agnieszka Radwanska,Jelena Jankovic|Agnieszka Radwanska
tennis,WParibas QF,Jelena Jankovic (+1.5 Sets) vs Agnieszka Radwanska ( 1.5 Sets),Jelena Jankovic (+1.5 Sets)|Agnieszka Radwanska ( 1.5 Sets)
tennis,WParibas QF,Jelena Jankovic ( 1.5 Sets) vs Agnieszka Radwanska (+1.5 Sets),Jelena Jankovic ( 1.5 Sets)|Agnieszka Radwanska (+1.5 Sets)
tennis,WParibas QF,Jelena Jankovic vs Agnieszka Radwanska,Jelena Jankovic|Agnieszka Radwanska
